Arabic,Urdu,English
وَمِنَ النَّاسِ مَنۡ يَّقُوۡلُ اٰمَنَّا بِاللّٰهِ وَبِالۡيَوۡمِ الۡاٰخِرِ وَمَا هُمۡ بِمُؤۡمِنِيۡنَ​ۘ,بعض لوگ ایسے بھی ہیں جو کہتے ہیں کہ ہم اللہ پر اور آخرت کے دن پر ایمان لائے ہیں، حالانکہ در حقیقت وہ مومن نہیں ہیں,"There are some who say, ""We believe in God and the Last Day,"" yet they are not believers."
يُخٰدِعُوۡنَ اللّٰهَ وَالَّذِيۡنَ اٰمَنُوۡا ​ۚ وَمَا يَخۡدَعُوۡنَ اِلَّاۤ اَنۡفُسَهُمۡ وَمَا يَشۡعُرُوۡنَؕ,وہ اللہ اور ایمان لانے والوں کے ساتھ دھوکہ بازی کر رہے ہیں، مگر دراصل وہ خود اپنے آپ ہی کو دھوکے میں ڈال رہے ہیں اور انہیں اس کا شعور نہیں ہے,"They seek to deceive God and the believers, but they only deceive themselves, though they do not realize it."
فِىۡ قُلُوۡبِهِمۡ مَّرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضًا ​ۚ وَّلَهُمۡ عَذَابٌ اَلِيۡمٌۙۢبِمَا كَانُوۡا يَكۡذِبُوۡنَ,ان کے دلوں میں ایک بیماری ہے جسے اللہ نے اور زیادہ بڑھا دیا، اور جو جھوٹ وہ بولتے ہیں، اس کی پاداش میں ان کے لیے درد ناک سزا ہے,"In their hearts is a disease, which God has increased. They will have a painful punishment, because they have been lying."
وَاِذَا قِيۡلَ لَهُمۡ لَا تُفۡسِدُوۡا فِىۡ الۡاَرۡضِۙ قَالُوۡاۤ اِنَّمَا نَحۡنُ مُصۡلِحُوۡنَ,جب کبھی ان سے کہا گیا کہ زمین پر فساد برپا نہ کرو تو انہوں نے یہی کہا کہ ہم تو اصلاح کرنے والے ہیں,"When they are told, ""Do not cause corruption in the land,"" they say, ""We are only promoters of peace,"""
اَلَا ۤ اِنَّهُمۡ هُمُ الۡمُفۡسِدُوۡنَ وَلٰـكِنۡ لَّا يَشۡعُرُوۡنَ,خبردار! حقیقت میں یہی لوگ مفسد ہیں مگر انہیں شعور نہیں ہے,"but it is they who are really causing corruption, though they do not realize it."
وَاِذَا قِيۡلَ لَهُمۡ اٰمِنُوۡا كَمَاۤ اٰمَنَ النَّاسُ قَالُوۡاۤ اَنُؤۡمِنُ كَمَاۤ اٰمَنَ السُّفَهَآءُ​ ؕ اَلَاۤ اِنَّهُمۡ هُمُ السُّفَهَآءُ وَلٰـكِنۡ لَّا يَعۡلَمُوۡنَ,"اور جب ان سے کہا گیا جس طرح دوسرے لوگ ایمان لائے ہیں اسی طرح تم بھی ایمان لاؤ تو انہوں نے یہی جواب دیا ""کیا ہم بیوقوفوں کی طرح ایمان لائیں؟"" خبردار! حقیقت میں تو یہ خود بیوقوف ہیں، مگر یہ جانتے نہیں ہیں","And when they are told, ""Believe as other people have believed,"" they say, ""Are we to believe just as fools believe?"" Surely they are the fools, even though they do not realize it."
وَاِذَا لَقُوۡا الَّذِيۡنَ اٰمَنُوۡا قَالُوۡاۤ اٰمَنَّا ۖۚ وَاِذَا خَلَوۡا اِلٰى شَيٰطِيۡنِهِمۡۙ قَالُوۡاۤ اِنَّا مَعَكُمۡۙ اِنَّمَا نَحۡنُ مُسۡتَهۡزِءُوۡنَ ﻿﻿,جب یہ اہل ایمان سے ملتے ہیں، تو کہتے ہیں کہ ہم ایمان لائے ہیں اور جب علیحدگی میں اپنے شیطانوں سے ملتے ہیں، تو کہتے ہیں کہ اصل میں تو ہم تمہارے ساتھ ہیں اور ان لوگوں سے محض مذاق کر رہے ہیں,"When they meet those who believe, they say, ""We believe."" But when they are alone with their evil leaders, they say, ""We are really with you; we were only mocking."""
اَللّٰهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِىۡ طُغۡيَانِهِمۡ يَعۡمَهُوۡنَ ﻿﻿,اللہ ان سے مذاق کر رہا ہے، وہ ان کی رسی دراز کیے جاتا ہے، اور یہ اپنی سرکشی میں اندھوں کی طرح بھٹکتے چلے جاتے ہیں,"God will requite them for their mockery, and draw them on, for a while, to wander blindly in their insolence."
اُولٰٓٮِٕكَ الَّذِيۡنَ اشۡتَرَوُا الضَّلٰلَةَ بِالۡهُدٰى فَمَا رَبِحَتۡ تِّجَارَتُهُمۡ وَمَا كَانُوۡا مُهۡتَدِيۡنَ,یہ وہ لوگ ہیں جنہوں نے ہدایت کے بدلے گمراہی خرید لی ہے، مگر یہ سودا ان کے لیے نفع بخش نہیں ہے اور یہ ہرگز صحیح راستے پر نہیں ہیں,"Such are those who have taken misguidance in exchange for guidance; but their bargain does not profit them, nor have they found true guidance."
مَثَلُهُمۡ كَمَثَلِ الَّذِى اسۡتَوۡقَدَ نَارًا ​ۚ فَلَمَّاۤ اَضَآءَتۡ مَا حَوۡلَهٗ ذَهَبَ اللّٰهُ بِنُوۡرِهِمۡ وَتَرَكَهُمۡ فِىۡ ظُلُمٰتٍ لَّا يُبۡصِرُوۡنَ ﻿﻿,اِن کی مثال ایسی ہے جیسے ایک شخص نے آگ روشن کی اور جب اُس نے سارے ماحول کو روشن کر دیا تو اللہ نے اِن کا نور بصارت سلب کر لیا اور انہیں اس حال میں چھوڑ دیا کہ تاریکیوں میں انہیں کچھ نظر نہیں آتا,"They are like those who kindled a fire, and when it lighted up all around them, God took away their sight and left them in utter darkness, unable to see --"
صُمٌّۢ بُكۡمٌ عُمۡىٌ فَهُمۡ لَا يَرۡجِعُوۡنَ ۙ,یہ بہرے ہیں، گونگے ہیں، اندھے ہیں، یہ اب نہ پلٹیں گے,"deaf, dumb, and blind: they will never return \[to the right path\]."
اَوۡ كَصَيِّبٍ مِّنَ السَّمَآءِ فِيۡهِ ظُلُمٰتٌ وَّرَعۡدٌ وَّبَرۡقٌ​ ۚ يَجۡعَلُوۡنَ اَصَابِعَهُمۡ فِىۡۤ اٰذَانِهِمۡ مِّنَ الصَّوَاعِقِ حَذَرَ الۡمَوۡتِ​ؕ وَاللّٰهُ مُحِيۡطٌ​ۢ بِالۡكٰفِرِيۡنَ,یا پھر ان کی مثال یوں سمجھو کہ آسمان سے زور کی بارش ہو رہی ہے اور اس کے ساتھ اندھیری گھٹا اور کڑک چمک بھی ہے، یہ بجلی کے کڑاکے سن کر اپنی جانوں کے خوف سے کانوں میں انگلیاں ٹھو نسے لیتے ہیں اور اللہ اِن منکرین حق کو ہر طرف سے گھیرے میں لیے ہوئے ہے,"Or their case is like that of heavy rain pouring down from the clouds, accompanied by darkness, thunder and lightning; they thrust their fingers in their ears at the sound of thunderclaps for fear of death. God thus encompasses those who deny the truth."
يَكَادُ الۡبَرۡقُ يَخۡطَفُ اَبۡصَارَهُمۡ​ؕ كُلَّمَاۤ اَضَآءَ لَهُمۡ مَّشَوۡا فِيۡهِۙ وَاِذَاۤ اَظۡلَمَ عَلَيۡهِمۡ قَامُوۡا​ؕ وَلَوۡ شَآءَ اللّٰهُ لَذَهَبَ بِسَمۡعِهِمۡ وَاَبۡصَارِهِمۡ​ؕ اِنَّ اللّٰهَ عَلٰى كُلِّ شَىۡءٍ قَدِيۡرٌ,چمک سے ان کی حالت یہ ہو رہی ہے کہ گویا عنقریب بجلی اِن کی بصارت اُچک لے جائے گی جب ذرا کچھ روشنی انہیں محسوس ہوتی ہے تو اِس میں کچھ دور چل لیتے ہیں اور جب ان پر اندھیرا چھا جاتا ہے تو کھڑ ے ہو جاتے ہیں اللہ چاہتا تو ان کی سماعت اور بصارت بالکل ہی سَلب کر لیتا، یقیناً وہ ہر چیز پر قادر ہے,"The lightning almost takes away their sight: whenever it flashes upon them, they walk on, but as soon as darkness falls around them, they stand still. Indeed, if God pleased, He could take away their hearing and their sight: God has power over all things."
يٰۤاَيُّهَا النَّاسُ اعۡبُدُوۡا رَبَّكُمُ الَّذِىۡ خَلَقَكُمۡ وَالَّذِيۡنَ مِنۡ قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُوۡنَ ۙ,لوگو! بندگی اختیار کرو اپنے اُس رب کی جو تمہارا اور تم سے پہلے جو لوگ ہو گزرے ہیں اُن سب کا خالق ہے، تمہارے بچنے کی توقع اِسی صورت ہوسکتی ہے,"People, worship your Lord, who created you and those before you, so that you may become righteous,"
الَّذِىۡ جَعَلَ لَـكُمُ الۡاَرۡضَ فِرَاشًا وَّالسَّمَآءَ بِنَآءً وَّاَنۡزَلَ مِنَ السَّمَآءِ مَآءً فَاَخۡرَجَ بِهٖ مِنَ الثَّمَرٰتِ رِزۡقًا لَّـكُمۡ​ۚ فَلَا تَجۡعَلُوۡا لِلّٰهِ اَنۡدَادًا وَّاَنۡـتُمۡ تَعۡلَمُوۡنَ,وہی تو ہے جِس نے تمہارے لیے زمین کا فرش بچھایا، آسمان کی چھت بنائی، اوپر سے پانی برسایا اور اس کے ذریعے سے ہر طرح کی پیداوار نکال کر تمہارے لیے رزق بہم پہنچایا پس جب تم یہ جانتے ہو تو دوسروں کو اللہ کا مد مقابل نہ ٹھیراؤ,"who made the earth a bed, and the sky a canopy; and it is He who sends down rain from above for the growth of every kind of food for your sustenance. And do not knowingly set up rivals to God."
وَاِنۡ کُنۡتُمۡ فِىۡ رَيۡبٍ مِّمَّا نَزَّلۡنَا عَلٰى عَبۡدِنَا فَاۡتُوۡا بِسُوۡرَةٍ مِّنۡ مِّثۡلِهٖ وَادۡعُوۡا شُهَدَآءَكُمۡ مِّنۡ دُوۡنِ اللّٰهِ اِنۡ كُنۡتُمۡ صٰدِقِيۡنَ ﻿﻿,اور اگر تمہیں اِس امر میں شک ہے کہ یہ کتا ب جو ہم نے اپنے بندے پر اتاری ہے، یہ ہماری ہے یا نہیں، تواس کے مانند ایک ہی سورت بنا لاؤ، اپنے سارے ہم نواؤں کو بلا لو، ایک اللہ کو چھوڑ کر باقی جس جس کی چاہو، مدد لے لو، اگر تم سچے ہو,"If you are in doubt about the revelation We have sent down to Our servant, then produce a single chapter like it, and call upon your helpers besides God, if you are truthful."
فَاِنۡ لَّمۡ تَفۡعَلُوۡا وَلَنۡ تَفۡعَلُوۡا فَاتَّقُوۡا النَّارَ الَّتِىۡ وَقُوۡدُهَا النَّاسُ وَالۡحِجَارَةُ ۖۚ اُعِدَّتۡ لِلۡكٰفِرِيۡنَ,تو یہ کام کر کے دکھاؤ، لیکن اگر تم نے ایسا نہ کیا اور یقیناً کبھی نہیں کرسکتے، تو ڈرو اس آگ سے جس کا ایندھن بنیں گے انسان اور پتھر، جو مہیا کی گئی ہے منکرین حق کے لیے,"But if you cannot do it, and you can never do it, then guard yourselves against the Fire whose fuel is men and stones, prepared for those who deny the truth."
وَبَشِّرِ الَّذِيۡنَ اٰمَنُوۡا وَ عَمِلُوا الصّٰلِحٰتِ اَنَّ لَهُمۡ جَنّٰتٍ تَجۡرِىۡ مِنۡ تَحۡتِهَا الۡاَنۡهٰرُ​ؕ ڪُلَّمَا رُزِقُوۡا مِنۡهَا مِنۡ ثَمَرَةٍ رِّزۡقًا ​ۙ قَالُوۡا هٰذَا الَّذِىۡ رُزِقۡنَا مِنۡ قَبۡلُ وَاُتُوۡا بِهٖ مُتَشَابِهًا ​ؕ وَلَهُمۡ فِيۡهَآ اَزۡوَاجٌ مُّطَهَّرَةٌ ​ۙ وَّهُمۡ فِيۡهَا خٰلِدُوۡنَ,اور اے پیغمبرؐ، جو لوگ اس کتاب پر ایمان لے آئیں اور (اس کے مطابق) اپنے عمل درست کر لیں، انہیں خوش خبری دے دو کہ اُن کے لیے ایسے باغ ہیں، جن کے نیچے نہریں بہتی ہوں گی ان باغوں کے پھل صورت میں دنیا کے پھلوں سے ملتے جلتے ہونگے جب کوئی پھل انہیں کھانے کو دیا جائے گا، تو وہ کہیں گے کہ ایسے ہی پھل اس سے پہلے دنیا میں ہم کو دیے جاتے تھے ان کے لیے وہاں پاکیزہ بیویاں ہونگی، اور وہ وہاں ہمیشہ رہیں گے,"Give the good news to those who believe and do good works, that they will have Gardens through which rivers flow: whenever they are given fruit to eat they will say, ""This is what we were provided with before,"" because they were given similar things. And there will be pure spouses for them, and they will abide there forever."
اِنَّ اللّٰهَ لَا يَسۡتَحۡـىٖۤ اَنۡ يَّضۡرِبَ مَثَلًا مَّا ​بَعُوۡضَةً فَمَا فَوۡقَهَا ​ؕ فَاَمَّا ​الَّذِيۡنَ اٰمَنُوۡا فَيَعۡلَمُوۡنَ اَنَّهُ الۡحَـقُّ مِنۡ رَّبِّهِمۡ​ۚ وَاَمَّا الَّذِيۡنَ ڪَفَرُوۡا فَيَقُوۡلُوۡنَ مَاذَآ اَرَادَ اللّٰهُ بِهٰذَا مَثَلًا ۘ يُضِلُّ بِهٖ ڪَثِيۡرًا وَّيَهۡدِىۡ بِهٖ كَثِيۡرًا ​ؕ وَمَا يُضِلُّ بِهٖۤ اِلَّا الۡفٰسِقِيۡنَۙ,ہاں، اللہ اس سے ہرگز نہیں شرماتا کہ مچھر یا اس سے بھی حقیر تر کسی چیز کی تمثیلیں دے جو لوگ حق بات کو قبول کرنے والے ہیں، وہ انہی تمثیلوں کو دیکھ کر جان لیتے ہیں کہ یہ حق ہے جو ان کے رب ہی کی طرف سے آیا ہے، اور جو ماننے والے نہیں ہیں، وہ انہیں سن کر کہنے لگتے ہیں کہ ایسی تمثیلوں سے اللہ کو کیا سروکار؟ اس طرح اللہ ایک ہی بات سے بہتوں کو گمراہی میں مبتلا کر دیتا ہے اور بہتوں کو راہ راست دکھا دیتا ہے اور گمراہی میں وہ انہی کو مبتلا کرتا ہے، جو فاسق ہیں,"God does not disdain to give a parable about a gnat or a smaller creature. The faithful know that it is the truth from their Lord, but those who deny the truth ask, ""What could God mean by this parable?"" He lets many go astray through it, and guides many by it. But He makes only the disobedient go astray:"
الَّذِيۡنَ يَنۡقُضُوۡنَ عَهۡدَ اللّٰهِ مِنۡۢ بَعۡدِ مِيۡثَاقِهٖ وَيَقۡطَعُوۡنَ مَآ اَمَرَ اللّٰهُ بِهٖۤ اَنۡ يُّوۡصَلَ وَيُفۡسِدُوۡنَ فِى الۡاَرۡضِ​ؕ اُولٰٓٮِٕكَ هُمُ الۡخٰسِرُوۡنَ,اللہ کے عہد کو مضبوط باندھ لینے کے بعد توڑ دیتے ہیں اللہ نے جسے جوڑنے کا حکم دیا ہے اُسے کاٹتے ہیں، اور زمین میں فساد برپا کرتے ہیں حقیقت میں یہی لوگ نقصان اٹھانے والے ہیں,"those who break God's covenant after they have pledged to keep it, and sever whatever God has ordered to be joined, and spread corruption in the land -- it is they who are the losers."
كَيۡفَ تَكۡفُرُوۡنَ بِاللّٰهِ وَڪُنۡتُمۡ اَمۡوَاتًا فَاَحۡيَاکُمۡ​ۚ ثُمَّ يُمِيۡتُكُمۡ ثُمَّ يُحۡيِيۡكُمۡ ثُمَّ اِلَيۡهِ تُرۡجَعُوۡنَ,تم اللہ کے ساتھ کفر کا رویہ کیسے اختیار کرتے ہو حالانکہ تم بے جان تھے، اس نے تم کو زندگی عطا کی، پھر وہی تمھاری جان سلب کرے گا، پھر وہی تمہیں دوبارہ زندگی عطا کرے گا، پھر اسی کی طرف تمہیں پلٹ کر جانا ہے,"How can you disbelieve in God when you were dead \[lifeless\] and He gave you life? He will let you die once more, then bring you back to life again, whereupon you will be returned to Him."
هُوَ الَّذِىۡ خَلَقَ لَـكُمۡ مَّا فِى الۡاَرۡضِ جَمِيۡعًا ثُمَّ اسۡتَوٰۤى اِلَى السَّمَآءِ فَسَوّٰٮهُنَّ سَبۡعَ سَمٰوٰتٍ​ؕ وَهُوَ بِكُلِّ شَىۡءٍ عَلِيۡمٌ ﻿﻿,وہی تو ہے، جس نے تمہارے لیے زمین کی ساری چیزیں پید ا کیں، پھر اوپر کی طرف توجہ فرمائی اور سات آسمان استوار کیے اور وہ ہر چیز کا علم رکھنے والا ہے,It is He who created everything on the earth for you: then He turned towards heaven and fashioned it into the seven heavens. He has knowledge of all things.
وَاِذۡ قَالَ رَبُّكَ لِلۡمَلٰٓٮِٕكَةِ اِنِّىۡ جَاعِلٌ فِى الۡاَرۡضِ خَلِيۡفَةً ؕ قَالُوۡٓا اَتَجۡعَلُ فِيۡهَا مَنۡ يُّفۡسِدُ فِيۡهَا وَيَسۡفِكُ الدِّمَآءَۚ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَـكَ​ؕ قَالَ اِنِّىۡٓ اَعۡلَمُ مَا لَا تَعۡلَمُوۡنَ ﻿﻿,"پھر ذرا اس وقت کا تصور کرو جب تمہارے رب نے فرشتوں سے کہا تھا کہ ""میں زمین میں ایک خلیفہ بنانے والا ہوں"" انہوں نے عرض کیا: ""کیا آپ زمین میں کسی ایسے کو مقر ر کرنے والے ہیں، جو اس کے انتظام کو بگاڑ دے گا اور خونریزیاں کرے گا آپ کی حمد و ثنا کے ساتھ تسبیح اور آپ کے لیے تقدیس تو ہم کر ہی رہے ہیں"" فرمایا: ""میں جانتا ہوں جو کچھ تم نہیں جانتے""","When your Lord said to the angels, ""I am putting a successor on earth,"" they said, ""Will You place someone there who will cause corruption on it and shed blood, while we glorify You with Your praise and extol Your holiness?"" \[God\] answered, ""Surely, I know that which you do not know."""
وَعَلَّمَ اٰدَمَ الۡاَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى الۡمَلٰٓٮِٕكَةِ فَقَالَ اَنۡۢبِــُٔوۡنِىۡ بِاَسۡمَآءِ هٰٓؤُلَآءِ اِنۡ كُنۡتُمۡ صٰدِقِيۡنَ,"اس کے بعد اللہ نے آدمؑ کو ساری چیزوں کے نام سکھائے، پھر انہیں فرشتوں کے سامنے پیش کیا اور فرمایا ""اگر تمہارا خیال صحیح ہے (کہ کسی خلیفہ کے تقرر سے انتظام بگڑ جائے گا) تو ذرا ان چیزوں کے نام بتاؤ""","He taught Adam all the names, then He set them before the angels and said, ""Tell Me the names of these, if what you say be true."""
قَالُوۡا سُبۡحٰنَكَ لَا عِلۡمَ لَنَآ اِلَّا مَا عَلَّمۡتَنَا ؕ اِنَّكَ اَنۡتَ الۡعَلِيۡمُ الۡحَكِيۡمُ,"انہوں نے عرض کیا: ""نقص سے پاک تو آپ ہی کی ذات ہے، ہم تو بس اتنا ہی علم رکھتے ہیں، جتنا آپ نے ہم کو دے دیا ہے حقیقت میں سب کچھ جاننے اور سمجھنے والا آپ کے سوا کوئی نہیں""","They said, ""Glory be to You; we have no knowledge except whatever You have taught us. You are the All Knowing, the All Wise."""
قَالَ يٰٓـاٰدَمُ اَنۡۢبِئۡهُمۡ بِاَسۡمَآٮِٕهِمۡ​ۚ فَلَمَّآ اَنۡۢبَاَهُمۡ بِاَسۡمَآٮِٕهِمۡۙ قَالَ اَلَمۡ اَقُل لَّـكُمۡ اِنِّىۡٓ اَعۡلَمُ غَيۡبَ السَّمٰوٰتِ وَالۡاَرۡضِۙ وَاَعۡلَمُ مَا تُبۡدُوۡنَ وَمَا كُنۡتُمۡ تَكۡتُمُوۡنَ,"پھر اللہ نے آدمؑ سے کہا: ""تم اِنہیں اِن چیزوں کے نام بتاؤ"" جب اس نے ان کو اُن سب کے نام بتا دیے، تو اللہ نے فرمایا: ""میں نے تم سے کہا نہ تھا کہ میں آسمانوں اور زمین کی وہ ساری حقیقتیں جانتا ہوں جو تم سے مخفی ہیں، جو کچھ تم ظاہر کرتے ہو، وہ بھی مجھے معلوم ہے اور جو کچھ تم چھپاتے ہو، اسے بھی میں جانتا ہوں""","Then He said, ""O Adam, tell them their names."" When Adam had told them the names, God said to the angels, ""Did I not say to you: I know the secrets of the heavens and of the earth, and I know what you reveal and what you conceal?"""
وَاِذۡ قُلۡنَا لِلۡمَلٰٓٮِٕكَةِ اسۡجُدُوۡا لِاٰدَمَ فَسَجَدُوۡٓا اِلَّاۤ اِبۡلِيۡسَؕ اَبٰى وَاسۡتَكۡبَرَ  وَكَانَ مِنَ الۡكٰفِرِيۡنَ,پھر جب ہم نے فرشتوں کو حکم دیا کہ آدمؑ کے آگے جھک جاؤ، تو سب جھک گئے، مگر ابلیس نے انکار کیا وہ اپنی بڑائی کے گھمنڈ میں پڑ گیا اور نافرمانوں میں شامل ہو گیا,"When We said to the angels, ""Bow down before Adam,"" they all bowed except for Iblis \[Satan\]. He refused and acted proudly and became an unbeliever."
وَقُلۡنَا يٰٓـاٰدَمُ اسۡكُنۡ اَنۡتَ وَزَوۡجُكَ الۡجَـنَّةَ وَكُلَا مِنۡهَا رَغَدًا حَيۡثُ شِئۡتُمَا وَلَا تَقۡرَبَا هٰذِهِ الشَّجَرَةَ فَتَكُوۡنَا مِنَ الظّٰلِمِيۡنَ ﻿﻿,"پھر ہم نے آدمؑ سے کہا کہ ""تم اور تمہاری بیوی، دونوں جنت میں رہو اور یہاں بفراغت جو چاہو کھاؤ، مگر اس درخت کا رُخ نہ کرنا، ورنہ ظالموں میں شمار ہو گے""","We said, ""O Adam! live with your wife in Paradise and eat freely from it anywhere you may wish. Yet do not approach this tree lest you become wrongdoers."""
فَاَزَلَّهُمَا الشَّيۡطٰنُ عَنۡهَا فَاَخۡرَجَهُمَا مِمَّا كَانَا فِيۡهِ​ وَقُلۡنَا اهۡبِطُوۡا بَعۡضُكُمۡ لِبَعۡضٍ عَدُوٌّ ۚ وَلَـكُمۡ فِى الۡاَرۡضِ مُسۡتَقَرٌّ وَّمَتَاعٌ اِلٰى حِيۡنٍ,"آخر کار شیطان نے ان دونوں کو اس درخت کی ترغیب دے کر ہمارے حکم کی پیروی سے ہٹا دیا اور انہیں اُس حالت سے نکلوا کر چھوڑا، جس میں وہ تھے ہم نے حکم دیا کہ، ""اب تم سب یہاں سے اتر جاؤ، تم ایک دوسرے کے دشمن ہو اور تمہیں ایک خاص وقت تک زمین ٹھیرنا اور وہیں گزر بسر کرنا ہے""","But Satan caused them both to slip through this and thus brought about the loss of their former state. We said, ""Go down from here as enemies to each other; and on earth you shall have your abode and your livelihood for a while!"""
فَتَلَقّٰٓى اٰدَمُ مِنۡ رَّبِّهٖ كَلِمٰتٍ فَتَابَ عَلَيۡهِ​ؕ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيۡمُ,اس وقت آدمؑ نے اپنے رب سے چند کلمات سیکھ کر توبہ کی، جس کو اس کے رب نے قبول کر لیا، کیونکہ وہ بڑا معاف کرنے والا اور رحم فرمانے والا ہے,"Then Adam received some words \[of prayer\] from his Lord and He accepted his repentance. He is the Forgiving One, the Merciful."
قُلۡنَا اهۡبِطُوۡا مِنۡهَا جَمِيۡعًا ​​ۚ فَاِمَّا يَاۡتِيَنَّكُمۡ مِّنِّىۡ هُدًى فَمَنۡ تَبِعَ هُدَاىَ فَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُوۡنَ,"ہم نے کہا کہ، ""تم سب یہاں سے اتر جاؤ پھر جو میری طرف سے کوئی ہدایت تمہارے پاس پہنچے، تو جو لوگ میر ی ہدایت کی پیروی کریں گے، ان کے لیے کسی خوف اور رنج کا موقع نہ ہوگا","We said, ""Go down, all of you, from here: then when guidance comes to you from Me, anyone who follows My guidance will have no fear, nor will they grieve --"
وَالَّذِيۡنَ كَفَرُوۡا وَكَذَّبُوۡا بِـاٰيٰتِنَآ اُولٰٓٮِٕكَ اَصۡحٰبُ النَّارِ​​ۚ هُمۡ فِيۡهَا خٰلِدُوۡنَ,"اور جو اس کو قبول کرنے سے انکار کریں گے اور ہماری آیات کو جھٹلائیں گے، وہ آگ میں جانے والے لوگ ہیں، جہاں وہ ہمیشہ رہیں گے""","those who deny and reject Our signs shall be the inhabitants of the Fire; therein shall they abide forever."""
